en,es
"Modem Monitor Activate and monitor a dial-up network connection _Activate _Deactivate _Properties Connection active, but could not get connection time Time connected: %.1d:%.2d Not connected To connect to your Internet service provider, you need administrator privileges To disconnect from your Internet service provider, you need administrator privileges The entered password is invalid Check that you have typed it correctly and that you haven't activated the ""caps lock"" key Do you want to connect?",El color del gráfico para la actividad de la CPU relacionada con el usuario El color del gráfico para la actividad de la CPU relacionada con el sistema El color del gráfico para la actividad de la CPU relacionada con la prioridad El color del gráfico para la espera de E/S relacionada con la actividad de la CPU Color de fondo del gráfico de carga de CPU El color del gráfico para el uso de memoria relacionado con el usuario El color del gráfico para la memoria compartida El color del gráfico para la memoria del búfer El color del gráfico para la memoria caché Color de fondo del gráfico de uso de memoria El color del gráfico para mostrar la actividad de la red Ethernet El color del gráfico para mostrar la actividad de la red Ethernet El color del gráfico para otros usos de la red Color de fondo del gráfico de red El color del gráfico para el uso de intercambio relativo al usuario Color de fondo del gráfico del espacio de intercambio El color del gráfico para el promedio de carga Color de fondo del gráfico de carga del sistema El color del gráfico para las lecturas de disco El color del gráfico para las escrituras de disco Color del fondo para el gráfico de carga de disco Recursos monitorizados _Procesador _Memoria _Red Espacio de _intercambio Car_ga _Disco duro Opciones Anchura del m_onitor del sistema: Altura del m_onitor del sistema: Intervalo de actualización del monitor del sis_tema: milisegundos _Usuario _Sistema _Prioridad Espera _E/S _Ocioso _Compartida _Búferes C_acheada _Libre _Fondo _Usado _Libre Carga _Media Disco duro _Lectura _Escritura Preferencias del monitor del sistema Reproductor de CD (obsoleto) Miniaplicación del panel para reproducir CDs de sonido Monitor de bandeja de entrada (obsoleto) Avisarme cuando llegue correo nuevo Preferencias del control de volumen Fábrica de miniaplicaciones nulas Fábrica para convertir miniaplicaciones en obsoletas Monitor de enlace inalámbrico Monitoriza la calidad de un enlace de red inalámbrico Monitor del módem Algunos elementos del panel no estarán disponibles a partir de ahora Uno o más elementos del panel (también llamados miniaplicaciones) no están ya disponibles en el escritorio GNOME.
Do you want to disconnect?,Estos elementos se quitarán de su configuración: No recibirá este mensaje de nuevo.
C_onnect _Disconnect Could not launch network configuration tool Check that it's installed in the correct path and that it has the correct permissions Applet for activating and monitoring a dial-up network connection.,"Tomboy (antes Notas adhesivas) Tomboy (actualización transparente de notas adhesivas) Fábrica miniaplicación de Notas adhesivas Notas adhesivas Crea, muestra y administra notas adhesivas en el escritorio Nota _nueva _Ocultar notas B_loquear las notas _Borrar las notas Esta nota está bloqueada."
"Enter password Password: Connecting with Internet Service Provider System Monitor A system load indicator _Open System Monitor A system load monitor capable of displaying graphs for CPU, ram, and swap space use, plus network traffic.",Esta nota está desbloqueada.
"There was an error executing '%s': %s Processor Memory Network Swap Space Load Average Disk %s: %u%% in use by programs %u%% in use as cache The system load average is %0.02f CPU Load Memory Load Net Load Swap Load Disk Load Enable CPU load graph Enable memory load graph Enable network load graph Enable swap load graph Enable load average graph Enable disk load graph Applet refresh rate in milliseconds Graph size For horizontal panels, the width of the graphs in pixels.",Preferencias de las notas adhesivas Propiedades predeterminadas de la nota Seleccione una tipografía para usar en todas las notas adhesivas Seleccione una tipografía predeterminada para la nota adhesiva T_ipografía: Usar la _tipografía del tema del sistema C_olor de la nota: Co_lor de la tipografía: Seleccione un color base para usar con todas las notas adhesivas Seleccione un color predeterminado para la nota adhesiva Usar el co_lor del tema del sistema Especifica la altura predeterminada (en píxeles) de las notas nuevas Especifica la anchura predeterminada (en píxeles) de las notas nuevas A_ltura: Comportamiento Forzar los colores y tipografías pre_determinados en las notas Seleccione si se debe forzar el estilo predeterminado en todas las notas C_olocar las notas en todas las áreas de trabajo Elija si las notas serán visibles en todas las áreas de trabajo Mostrar notas adhesivas Esta nota está desbloqueada.
"For vertical panels, this is the height of the graphs.",Mostrar notas adhesivas _Borrar todas Nota adhesiva Bloquear/Desbloquear la nota Cerrar nota Redimensionar la nota Propiedades de la nota adhesiva _Propiedades Seleccione una tipografía para la nota Seleccione una tipografía para la nota adhesiva Usar la tipografía predetermi_nada Seleccione un color para la nota Seleccione un color para la nota adhesiva _Color de la nota: Color de la _tipografía: Usar el co_lor predeterminado Especifique un título para la nota _Título: Anchura predeterminado para las notas nuevas Anchura predeterminado en píxeles para las notas adhesivas nuevas.
Graph color for user-related CPU activity Graph color for system-related CPU activity Graph color for nice-related CPU activity Graph color for iowait related CPU activity CPU graph background color Graph color for user-related memory usage Graph color for shared memory Graph color for buffer memory Graph color for cached memory Memory graph background color Graph color for input network activity Graph color for output network activity Graph color for loopback network usage Network graph background color Graph color for user-related swap usage Swap graph background color Graph color for load average Load graph background color Graph color for disk read Graph color for disk write Background color for disk load graph Monitored Resources _Processor _Memory _Network S_wap Space _Load _Harddisk Options System m_onitor width: System m_onitor height: Sys_tem monitor update interval: milliseconds _User S_ystem N_ice I_OWait I_dle Sh_ared _Buffers Cach_ed F_ree _Background _Used _Free Load _Average Harddisk _Read _Write System Monitor Preferences CD Player (Deprecated) Panel applet for playing audio CDs Inbox Monitor (Deprecated) Alert you when new mail arrives Volume Control (Deprecated) Null Applet Factory Factory for deprecating applets Wireless Link Monitor Monitor the quality of a wireless network link Inbox Monitor Some panel items are no longer available One or more panel items (also referred to as applets) are no longer available in the GNOME desktop.,Altura predeterminada para las notas nuevas Altura predeterminada en píxeles para las notas adhesivas nuevas.
These items will now be removed from your configuration: You will not receive this message again.,Color de predeterminado para las notas nuevas Color predeterminado para las notas adhesivas nuevas.
"Tomboy (ne Stickynotes) Tomboy (transparent upgrade from stickynotes) Sticky Notes Applet Factory Sticky Notes Create, view, and manage sticky notes on the desktop _New Note Hi_de Notes _Lock Notes _Delete Notes This note is locked.","Este podría estar en especificación hexadecimal html, por ejemplo «#30FF50»."
This note is unlocked.,Color de predeterminado para la tipografía Color predeterminado para la tipografía de las notas adhesivas nuevas.
Sticky Notes Preferences Default Note Properties Choose a font to use for all sticky notes Pick a default sticky note font _Font: Use fo_nt from the system theme Note C_olor: Font Co_lor: Choose a base color to use for all sticky notes Pick a default sticky note color Use co_lor from the system theme Specify the default height (in pixels) of new notes Specify the default width (in pixels) of new notes H_eight: Behavior Force _default color and font on notes Choose if the default style is forced on all notes _Put notes on all workspaces Choose if notes are visible on all workspaces Delete this sticky note?,"Este podría estar en especificación hexadecimal html, por ejemplo «#000000»."
This cannot be undone.,Tipografía predeterminada para las notas nuevas Tipografía predeterminada para las notas adhesivas nuevas.
Delete all sticky notes?,"Esto debería ser un nombre de tipografía Pango, por ejemplo «Sans Italic 10» Adherencia del área de trabajo de las notas adhesivas Especifica si las notas adhesivas son visibles en TODAS las áreas de trabajo del escritorio, o no."
_Delete All Sticky Note Lock/Unlock note Close note Resize note Sticky Note Properties Properties Choose a font for the note Pick a font for the sticky note Use default fo_nt Choose a color for the note Pick a color for the sticky note Note _Color: Font C_olor: Use default co_lor Specify a title for the note _Title: Default width for new notes Default width for new sticky notes in pixels.,Estado de bloqueo de las notas adhesivas Especifica si las notas adhesivas están bloqueadas (no editables) o no.
Default height for new notes Default height for new sticky notes in pixels.,"Formato de fecha del título de la nota Por omisión, las notas adhesivas utilizan la fecha actual como título al crearse."
Default color for new notes Default color for new sticky notes.,Este es el formato utilizado.
"This should be in html hex specification, for example ""#30FF50"".",Cualquier formato que pueda ser analizado por strftime() es válido.
Default color for font Default font color for new sticky notes.,Define si se debe utilizar el color predeterminado del sistema Si esta opción esta deshabilitada se puede utilizar una color personalizado como el color predeterminado para todas las notas adhesivas.
"This should be in html hex specification, for example ""#000000"".","Define si se debe utilizar la tipografía predeterminada del sistema Si esta opción está deshabilitada, se puede utilizar una tipografía personalizada como tipografía predeterminada para todas las notas adhesivas."
Default font for new notes Default font for new sticky notes.,Define si se debe forzar el uso del color y la tipografía predeterminada en todas las notas Si esta opción esta habilitada los colores y tipografías personalizadas que han sido asignados a las notas individuales serán ignorados.
"This should be a Pango Font Name, for example ""Sans Italic 10"".",Define si se debe solicitar una confirmación cuando se está borrando una nota Las notas vacías siempre se borran sin confirmar Mostrar notas adhesivas Notas adhesivas para el «Entorno de Escritorio GNOME» Papelera Ir a la papelera _Abrir %s _Vaciar papelera No hay elementos en la papelera Error al resucitar Nautilus: %s Un cubo de papelera que vive en su panel.
"Sticky notes' workspace stickyness Specifies whether the sticky notes are visible on ALL workspaces on the desktop, or not.",Puede usarlo para ver la papelera o arrastrar y soltar elementos en la papelera.
Sticky notes' locked state Specifies whether the sticky notes are locked (non-editable) or not.,¿Borrar inmediatamente?
"Date format of note's title By default, sticky notes are given the current date as the title when they are created.","No se pueden mover los elementos a la papelera, ¿quiere borrarlos inmediatamente?"
